id,xmins
459,20
461,85
462,10
463,25
466,70
468,88
469,80
474,25
475,15
478,0
479,0
482,10
486,80
488,85
491,85
1708,10
1709,75
1710,15
1711,10
1712,5
373,60
374,85
375,15
376,60
378,60
379,60
380,60
381,60
382,60
383,60
384,60
386,60
387,90
388,0
390,60
391,60
392,60
393,60
395,60
396,60
397,60
1400,0
1405,60
1411,60
1413,60
1417,60
1423,60
1425,60
1427,60
173,83
176,10
28,85
1318,85
34,80
32,20
31,10
41,75
50,80
56,80
57,80
55,10
53,5
1327,15
1326,10
1335,15
38,85
39,70
1338,30
115,10
118,10
120,10
137,80
136,75
128,20
138,80
129,55
1526,55
124,80
127,20
1525,5
1346,75
1345,75
168,10
164,85
165,85
188,80
190,25
1366,80
1369,20
174,75
178,10
181,20
471,70
498,70
496,5
1429,85
515,80
509,70
505,70
517,80
1431,20
516,20
514,5
500,85
502,15
1432,5
1598,5
534,90
542,85
520,85
521,75
522,5
525,15
1602,75
540,75
543,80
1599,5
1603,5
528,75
531,5
532,20
1604,5
796,85
797,75
798,15
799,15
800,5
917,75
1570,85
919,85
918,15
921,10
936,85
925,70
939,85
1574,30
923,5
924,15
926,5
927,5
1573,85
1037,85
1033,10
1036,10
1038,10
1029,80
1032,80
1055,20
1696,85
1030,15
1041,75
1042,75
1043,65
1094,75
1093,25
1095,5
1097,5
1092,80
1106,85
1104,80
1998,60
1997,5
1084,15
1089,80
1087,20
1085,30
1098,5
1099,90
1258,85
1259,85
1261,80
1262,5
1263,10
1264,5
1274,85
1267,75
1266,20
1268,5
1269,5
1254,15
1255,80
1265,75
1257,10
248,85
252,75
251,15
1374,6
256,85
270,80
259,75
257,20
261,5
1396,5
267,15
268,10
271,10
266,5
1102,70
1105,55
1146,10
1145,10
1141,85
1137,75
1135,80
1151,75
1156,15
1157,15
1581,5
1149,75
1150,20
1582,5
1583,5
523,10
935,5
