player,team,position
Hossam Abdelmaguid,Egypt,DEF
Tarek Alaa,Egypt,DEF
Yasser Ibrahim,Egypt,DEF
Karim Hafez,Egypt,DEF
Trezeguet,Egypt,FWD
Aqtay Abdallah,Egypt,FWD
Hamza Abdelkarim,Egypt,FWD
Mohamed El Shenawy,Egypt,GK
El Mahdy Soliman,Egypt,GK
Mostafa Shobeir,Egypt,GK
Mohamed Alaa,Egypt,GK
Marwan Attia,Egypt,MID
Zizo,Egypt,MID
Hamdi Fathy,Egypt,MID
Emam Ashour,Egypt,MID
Mahmoud Saber,Egypt,MID
Mohanad Lasheen,Egypt,MID
Ibrahim Adel,Egypt,MID
Nabil Emad Dunga,Egypt,MID
Mostafa Zico,Egypt,MID
Abdul Baba,Ghana,DEF
Jordan Ayew,Ghana,FWD
Prince Adu,Ghana,FWD
Abdul Fatawu,Ghana,FWD
Christopher Bonsu Baah,Ghana,FWD
Brandon Thomas-Asante,Ghana,FWD
Benjamin Asare,Ghana,GK
Paul Reverson,Ghana,GK
Solomon Agbasi,Ghana,GK
Lawrence Ati Zigi,Ghana,GK
Joseph Anang,Ghana,GK
Augustine Boakye,Ghana,MID
Caleb Yirenkyi,Ghana,MID
Jean-Kévin Duverne,Haiti,DEF
Ricardo Adé,Haiti,DEF
Martin Expérience,Haiti,DEF
Wilguens Paugain,Haiti,DEF
Duke Lacroix,Haiti,DEF
Keeto Thermoncy,Haiti,DEF
Duckens Nazon,Haiti,FWD
Yassin Fortuné,Haiti,FWD
Ruben Providence,Haiti,FWD
Lenny Joseph,Haiti,FWD
Johny Placide,Haiti,GK
Alexandre Pierre,Haiti,GK
Josué Duverger,Haiti,GK
Woodensky Pierre,Haiti,MID
Leverton Pierre,Haiti,MID
Carl Sainté,Haiti,MID
Danley Jean Jacques,Haiti,MID
Ramin Rezaeian,IR Iran,DEF
Hossein Kanani,IR Iran,DEF
Milad Mohammadi,IR Iran,DEF
Shoja Khalilzadeh,IR Iran,DEF
Ehsan Hajisafi,IR Iran,DEF
Saleh Hardani,IR Iran,DEF
Ali Nemati,IR Iran,DEF
Aria Yousefi,IR Iran,DEF
Danial Eiri,IR Iran,DEF
Alireza Jahanbakhsh,IR Iran,FWD
Saman Ghoddos,IR Iran,FWD
Ali Alipour,IR Iran,FWD
Dennis Dargahi,IR Iran,FWD
Amirhossein Hosseinzadeh,IR Iran,FWD
Amirhossein Mahmoudi,IR Iran,FWD
Kasra Taheri,IR Iran,FWD
Alireza Beiranvand,IR Iran,GK
Payam Niazmand,IR Iran,GK
Hossein Hosseini,IR Iran,GK
Mohammad Khalifeh,IR Iran,GK
Amir Mohammad Razzaghinia,IR Iran,MID
Hadi Habibinejad,IR Iran,MID
Mohammad Ghorbani,IR Iran,MID
Omid Noorafkan,IR Iran,MID
Mehdi Torabi,IR Iran,MID
Saeid Ezatolahi,IR Iran,MID
Mohammad Mohebi,IR Iran,MID
Mehdi Ghayedi,IR Iran,MID
Roozbeh Cheshmi,IR Iran,MID
Frans Putros,Iraq,DEF
Rebin Sulaka,Iraq,DEF
Maytham Jabbar,Iraq,DEF
Hussein Ali,Iraq,DEF
Zaid Tahseen,Iraq,DEF
Munaf Younus,Iraq,DEF
Akam Hashim,Iraq,DEF
Ahmed Maknzi,Iraq,DEF
Mustafa Saadoon,Iraq,DEF
Ahmed Yahya,Iraq,DEF
Aymen Hussein,Iraq,FWD
Mohanad Ali,Iraq,FWD
Ali Al Hamadi,Iraq,FWD
Youssef Amyn,Iraq,FWD
Ali Yousif,Iraq,FWD
Ahmed Basil,Iraq,GK
Fahad Talib,Iraq,GK
Kumel Saadi,Iraq,GK
Jalal Hassan,Iraq,GK
Zaid Ismael,Iraq,MID
Marko Farji,Iraq,MID
Hasan Abdulkareem,Iraq,MID
Peter Gwargis,Iraq,MID
Kevin Yakob,Iraq,MID
Amir Al Ammari,Iraq,MID
Aimar Sher,Iraq,MID
Karar Nabeel,Iraq,MID
Shogo Taniguchi,Japan,DEF
Keisuke Goto,Japan,FWD
Junya Ito,Japan,MID
Keito Nakamura,Japan,MID
Abdallah Nasib,Jordan,DEF
Mohannad Abu Taha,Jordan,DEF
Mohammad Abu Hasheesh,Jordan,DEF
Husam Abu Al Dahab,Jordan,DEF
Mohammad Taha,Jordan,DEF
Ahmad Assaf,Jordan,DEF
Saleem Obaid,Jordan,DEF
Mohammad Abu Al Nadi,Jordan,DEF
Amer Jamous,Jordan,DEF
Ehsan Haddad,Jordan,DEF
Saed Al Rosan,Jordan,DEF
Anas Badawi,Jordan,DEF
Mousa Al Tamari,Jordan,FWD
Mohammad Abu Zraiq,Jordan,FWD
Mahmoud Al Mardi,Jordan,FWD
Odeh Fakhoury,Jordan,FWD
Ali Olwan,Jordan,FWD
Yazeed  Abulaila,Jordan,GK
Abdallah Al Fakhouri,Jordan,GK
Nour Bani Ateyah,Jordan,GK
Ahmad Al Juaidi,Jordan,GK
Yousef Qashi,Jordan,MID
Ibrahim Sadeh,Jordan,MID
Mohammad Al Daoud,Jordan,MID
Noor Al Rawabdeh,Jordan,MID
Nizar Al Rashdan,Jordan,MID
Raja'ei Ayed,Jordan,MID
Seol Young-Woo,Korea Republic,DEF
Cho Yu-Min,Korea Republic,DEF
Lee Han-Beom,Korea Republic,DEF
Cho Gue-Sung,Korea Republic,FWD
Eom Ji-Sung,Korea Republic,FWD
Paik Seung-Ho,Korea Republic,MID
Bae Jun-Ho,Korea Republic,MID
César Montes,Mexico,DEF
Jorge Sánchez,Mexico,DEF
Everardo López,Mexico,DEF
Guillermo Ochoa,Mexico,GK
Raúl Rangel,Mexico,GK
César Huerta,Mexico,MID
Luis Chávez,Mexico,MID
Ismaël Baouf,Morocco,DEF
Youssef Belammari,Morocco,DEF
Soufiane Bouftini,Morocco,DEF
Mohamed Chibi,Morocco,DEF
Ayoube Amaimouni-Echghouyab,Morocco,FWD
Soufiane Benjdida,Morocco,FWD
Tawfik Bentayeb,Morocco,FWD
Amine Sbaï,Morocco,FWD
El Mehdi Al Harrar,Morocco,GK
Munir El Kajoui,Morocco,GK
Ibrahim Gomis,Morocco,GK
Yanis Benchaouch,Morocco,GK
Imrân Louza,Morocco,MID
Soufiane El-Faouzi,Morocco,MID
Othmane Maamma,Morocco,MID
Tyler Bindon,New Zealand,DEF
Francis de Vries,New Zealand,DEF
Tim Payne,New Zealand,DEF
Callan Elliot,New Zealand,DEF
Liberato Cacace,New Zealand,DEF
Nando Pijnaker,New Zealand,DEF
Tommy Smith,New Zealand,DEF
Kosta Barbarouses,New Zealand,FWD
Ben Waine,New Zealand,FWD
Ben Old,New Zealand,FWD
Jesse Randall,New Zealand,FWD
Matthew Garbett,New Zealand,FWD
Max Crocombe,New Zealand,GK
Alex Paulsen,New Zealand,GK
Michael Woud,New Zealand,GK
Callum McCowatt,New Zealand,MID
Alex Rufer,New Zealand,MID
Joe Bell,New Zealand,MID
Marko Stamenic,New Zealand,MID
Elijah Just,New Zealand,MID
Lachlan Bayliss,New Zealand,MID
Sarpreet Singh,New Zealand,MID
Leo Østigård,Norway,DEF
Fredrik Bjørkan,Norway,DEF
Henrik Falchener,Norway,DEF
Sondre Langås,Norway,DEF
Egil Selvik,Norway,GK
Patrick Berg,Norway,MID
Jens Petter Hauge,Norway,MID
Amir Murillo,Panama,DEF
José Córdoba,Panama,DEF
Éric Davis,Panama,DEF
César Blackman,Panama,DEF
Andrés Andrade,Panama,DEF
Roderick Miller,Panama,DEF
Jiovany Ramos,Panama,DEF
Martín Krug,Panama,DEF
Jorge Gutiérrez,Panama,DEF
José Fajardo,Panama,FWD
Cecilio Waterman,Panama,FWD
César Yanis,Panama,FWD
Kadir Barría,Panama,FWD
Luis Mejía,Panama,GK
César Samudio,Panama,GK
Cristian Martínez,Panama,MID
Yoel Bárcenas,Panama,MID
Gustavo Gómez,Paraguay,DEF
Júnior Alonso,Paraguay,DEF
Fabián Balbuena,Paraguay,DEF
Alan Benítez,Paraguay,DEF
Gustavo Velázquez,Paraguay,DEF
Juan José Cáceres,Paraguay,DEF
José Canale,Paraguay,DEF
Blás Riveros,Paraguay,DEF
Alcides Benítez,Paraguay,DEF
Agustín Sández,Paraguay,DEF
Saúl Salcedo,Paraguay,DEF
Diego León,Paraguay,DEF
Ronaldo Dejesús,Paraguay,DEF
Mateo Gamarra,Paraguay,DEF
Ramón Sosa,Paraguay,FWD
Álex Arce,Paraguay,FWD
Gabriel Ávalos,Paraguay,FWD
Gustavo Caballero,Paraguay,FWD
Alexandro Maidana,Paraguay,FWD
Carlos González,Paraguay,FWD
Isidro Pitta,Paraguay,FWD
Adrián Alcaraz,Paraguay,FWD
Adam Bareiro,Paraguay,FWD
Gastón Olveira,Paraguay,GK
Orlando Gill,Paraguay,GK
Juan Espínola,Paraguay,GK
Santiago Rojas,Paraguay,GK
Maurício Magalhães Prado,Paraguay,MID
Alejandro Romero,Paraguay,MID
Matías Galarza,Paraguay,MID
Lucas Romero,Paraguay,MID
Damián Bobadilla,Paraguay,MID
Robert Piris Da Motta,Paraguay,MID
Óscar Romero,Paraguay,MID
Mathías Villasanti,Paraguay,MID
Hugo Cuenca,Paraguay,MID
Álvaro Campuzano,Paraguay,MID
Ángel Romero,Paraguay,MID
Rodney Redes,Paraguay,MID
Enso González,Paraguay,MID
Lorenzo Melgarejo,Paraguay,MID
Rubén Lezcano,Paraguay,MID
Ronaldo Martínez,Paraguay,MID
Trincão,Portugal,FWD
Pedro Miguel,Qatar,DEF
Bassam Al Rawi,Qatar,DEF
Lucas Mendes,Qatar,DEF
Boualem Khoukhi,Qatar,DEF
Niall Mason,Qatar,DEF
Hashmi Al Hussain,Qatar,DEF
Issa Laye,Qatar,DEF
Tarek Salman,Qatar,DEF
Rayyan Al Ali,Qatar,DEF
Homam El Amin,Qatar,DEF
Sultan Al Brake,Qatar,DEF
Akram Afif,Qatar,FWD
Almoez Ali,Qatar,FWD
Edmílson Junior,Qatar,FWD
Hassan Al Haydos,Qatar,FWD
Yusuf Abdurisag,Qatar,FWD
Ahmed Al Ganehi,Qatar,FWD
Mubarak Shanan,Qatar,FWD
Ahmed Alaa,Qatar,FWD
Mohammed Muntari,Qatar,FWD
Sebastián Soria,Qatar,FWD
Tahsin Jamshid,Qatar,FWD
Meshaal Barsham,Qatar,GK
Salah Zakaria,Qatar,GK
Shehab Ellethy,Qatar,GK
Mahmud Abunada,Qatar,GK
Fahad Younis,Qatar,GK
Mohammad Al Mannai,Qatar,MID
Ayoub Al Oui,Qatar,MID
Ahmed Fathy,Qatar,MID
Karim Boudiaf,Qatar,MID
Assim Madibo,Qatar,MID
Mohammed Waad,Qatar,MID
Abdulaziz Hatem,Qatar,MID
Jassem Gaber,Qatar,MID
Nawaf Bu Washl,Saudi Arabia,DEF
Zakaria Hawsawi,Saudi Arabia,DEF
Feras Al Brikan,Saudi Arabia,FWD
Saleh Al Shehri,Saudi Arabia,FWD
Saleh Abu Al Shamat,Saudi Arabia,FWD
Mohammed Al Owais,Saudi Arabia,GK
Mohammed Abu Al Shamat,Saudi Arabia,MID
Scott McKenna,Scotland,DEF
Dominic Hyam,Scotland,DEF
George Hirst,Scotland,FWD
Lyndon Dykes,Scotland,FWD
Ross Stewart,Scotland,FWD
Liam Kelly,Scotland,GK
Kenny McLean,Scotland,MID
Abdoulaye Seck,Senegal,DEF
Ilay Camara,Senegal,DEF
Bara Sapoko Ndiaye,Senegal,MID
Aubrey Modiba,South Africa,DEF
Thabang Matuludi,South Africa,DEF
Khuliso Mudau,South Africa,DEF
Nkosinathi Sibisi,South Africa,DEF
Mbekezeli Mbokazi,South Africa,DEF
Khulumani Ndamane,South Africa,DEF
Ime Okon,South Africa,DEF
Samukele Kabini,South Africa,DEF
Thabiso Monyane,South Africa,DEF
Bradley Cross,South Africa,DEF
Thapelo Morena,South Africa,DEF
Relebohile Mofokeng,South Africa,FWD
Oswin Appollis,South Africa,FWD
Evidence Makgopa,South Africa,FWD
Thapelo Maseko,South Africa,FWD
Ronwen Williams,South Africa,GK
Ricardo Goss,South Africa,GK
Brandon Petersen,South Africa,GK
Sipho Chaine,South Africa,GK
Jayden Adams,South Africa,MID
Teboho Mokoena,South Africa,MID
Themba Zwane,South Africa,MID
Thalente Mbatha,South Africa,MID
Tshepang Moremi,South Africa,MID
Yaya Sithole,South Africa,MID
Lebohang Maboe,South Africa,MID
Kamogelo Sebelebele,South Africa,MID
Patrick Maswanganyi,South Africa,MID
Brooklyn Poggenpoel,South Africa,MID
Iqraam Rayners,South Africa,MID
Alejandro Grimaldo,Spain,DEF
Fabián Ruiz,Spain,MID
Gustaf Nilsson,Sweden,FWD
Alexander Bernhardsson,Sweden,FWD
Kristoffer Nordfeldt,Sweden,GK
Viktor Johansson,Sweden,GK
Jacob Widell Zetterström,Sweden,GK
Besfort Zeneli,Sweden,MID
Elliot Stroud,Sweden,MID
Taha Ali,Sweden,MID
Ken Sema,Sweden,MID
Cedric Itten,Switzerland,FWD
Moutaz Neffati,Tunisia,DEF
Omar Rekik,Tunisia,DEF
Mohamed Amine Ben Hmida,Tunisia,DEF
Raed Chikhaoui,Tunisia,DEF
Firas Chaouat,Tunisia,FWD
Hazem Mastouri,Tunisia,FWD
Khalil Ayari,Tunisia,FWD
Abdelmouhib Chamakh,Tunisia,GK
Aymen Dahmen,Tunisia,GK
Sabri Ben Hessen,Tunisia,GK
Hadj Mahmoud,Tunisia,MID
Anis Ben Slimane,Tunisia,MID
Elias Achouri,Tunisia,MID
Aral Simsir,Türkiye,MID
Alexander Freeman,USA,DEF
Aidan Morris,USA,MID
Giovanni Reyna,USA,MID
Matías Viña,Uruguay,DEF
Guillermo Varela,Uruguay,DEF
José Rodríguez,Uruguay,DEF
Brian Barboza,Uruguay,DEF
Benjamín García,Uruguay,DEF
Facundo Torres,Uruguay,FWD
Agustín Canobbio,Uruguay,FWD
Facundo Martínez,Uruguay,FWD
Agustín Álvarez,Uruguay,FWD
Sergio Rochet,Uruguay,GK
Fernando Muslera,Uruguay,GK
Pablo Alcoba,Uruguay,MID
Luciano González,Uruguay,MID
Maxi Araújo,Uruguay,MID
Nicolás de la Cruz,Uruguay,MID
Giorgian de Arrascaeta,Uruguay,MID
Rustam Ashurmatov,Uzbekistan,DEF
Sherzod Nasrullaev,Uzbekistan,DEF
Farrukh Sayfiev,Uzbekistan,DEF
Khojiakbar Alijonov,Uzbekistan,DEF
Umar Eshmurodov,Uzbekistan,DEF
Avazbek O'lmasaliev,Uzbekistan,DEF
Bekhruz Karimov,Uzbekistan,DEF
Jakhongir Urozov,Uzbekistan,DEF
Igor Sergeev,Uzbekistan,FWD
Sherzod Temirov,Uzbekistan,FWD
Azizbek Amanov,Uzbekistan,FWD
Abduvokhid Ne'matov,Uzbekistan,GK
Utkir Yusupov,Uzbekistan,GK
Botirali Ergashev,Uzbekistan,GK
Abdulla Abdullaev,Uzbekistan,MID
Sherzod Esanov,Uzbekistan,MID
Jasurbek Jaloliddinov,Uzbekistan,MID
Ruslanbek Jiyanov,Uzbekistan,MID
Akmal Mozgovoy,Uzbekistan,MID
Otabek Shukurov,Uzbekistan,MID
Umarali Rakhmonaliev,Uzbekistan,MID
Dostonbek Khamdamov,Uzbekistan,MID
Aziz G'aniev,Uzbekistan,MID
Odiljon Hamrobekov,Uzbekistan,MID
Oston Urunov,Uzbekistan,MID
Jamshid Iskanderov,Uzbekistan,MID
Jaloliddin Masharipov,Uzbekistan,MID
